Ano,Fractal Dimension
2024,2532
2023,2321
2022,2388
2021,2352
2020,2040
2019,1992
2018,1715
2017,1577
2016,1542
2015,1517
2014,1283
2013,1338
2012,1311
2011,1238
2010,1210
2009,1247
2008,1180
2007,1110
2006,1048
2005,932
2004,937
2003,898
2002,880
2001,888
2000,843
1999,834
1998,833
1997,821
1996,844
1995,731
1994,724
1993,677
1992,626
1991,536
1990,139
1989,86
1988,70
1987,52
1986,52
1985,42
1984,27
1983,17
1982,3
1981,4
1980,2
1979,2
1978,4
1977,2
1976,2
1975,2
